Data from Reflection_12-39-45-210.txt Node
Date: Fri Mar 09 12:39:45 AEDT 2018
User: gauss
Spectrometer: FLMT02295
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
343.149	35.91
343.366	35.91
343.583	35.91
343.8	45.95
344.017	96.06
344.234	500
344.451	565.06
344.668	17300
344.885	942.11
345.101	-37.82
345.318	-844.83
345.535	76.21
345.752	16.42
345.969	186.24
346.186	134.78
346.403	62.71
346.619	305.63
346.836	47.54
347.053	36.27
347.27	36.83
347.487	47.46
347.703	30.86
347.92	2.96
348.137	-11.05
348.353	53.45
348.57	28.61
348.787	57.43
349.003	36.72
349.22	46.45
349.437	40.87
349.653	44.18
349.87	16.25
350.087	27.95
350.303	22.15
350.52	14.59
350.736	34.47
350.953	-24.27
351.169	28.82
351.386	34.6
351.602	9.9
351.819	27.39
352.035	42.49
352.252	47.35
352.468	30.3
352.685	55.94
352.901	25.18
353.118	34.62
353.334	10.36
353.551	-7.26
353.767	23.65
353.983	6.04
354.2	17.79
354.416	47.24
354.632	17.17
354.849	22.83
355.065	11.76
355.281	30.33
355.498	24.09
355.714	31.46
355.93	19.76
356.146	25.39
356.363	13.31
356.579	23.13
356.795	21.73
357.011	25.75
357.227	32.5
357.444	25.72
357.66	8.18
357.876	17.48
358.092	29.23
358.308	25.27
358.524	38.52
358.74	33.64
358.956	30.36
359.172	22.13
359.388	23.06
359.605	28.09
359.821	16.74
360.037	47.83
360.253	19.08
360.469	27.68
360.685	12.52
360.901	21.96
361.116	32.49
361.332	21.85
361.548	18.72
361.764	8.71
361.98	29.85
362.196	11.04
362.412	24.7
362.628	22.47
362.844	35.26
363.059	34.68
363.275	10.17
363.491	24.94
363.707	31.51
363.923	5.83
364.138	31.68
364.354	26.33
364.57	25.94
364.786	35.12
365.001	12.88
365.217	20.2
365.433	16.89
365.648	15.66
365.864	0.65
366.08	32.55
366.295	16.92
366.511	24.34
366.727	21.48
366.942	7.68
367.158	32.98
367.373	23.27
367.589	39.99
367.805	32.17
368.02	28.89
368.236	17.85
368.451	13.19
368.667	14.18
368.882	20.85
369.098	22.91
369.313	14.36
369.528	7.49
369.744	8.67
369.959	25.01
370.175	25.13
370.39	6.87
370.605	22.73
370.821	21.9
371.036	18.89
371.252	26.57
371.467	12.11
371.682	15.93
371.898	28.48
372.113	9.43
372.328	25.79
372.543	25.22
372.759	12.3
372.974	15.71
373.189	8.02
373.404	26.46
373.619	11.53
373.835	11.35
374.05	27.87
374.265	18.01
374.48	18.06
374.695	18.79
374.91	37.3
375.126	23.84
375.341	18.47
375.556	18.5
375.771	18.22
375.986	23.76
376.201	15.31
376.416	23.56
376.631	7.51
376.846	18.78
377.061	16.66
377.276	8.15
377.491	18.82
377.706	17.05
377.921	6.62
378.136	13.24
378.351	24.36
378.566	17.77
378.78	18.85
378.995	20.72
379.21	17.31
379.425	23.73
379.64	20.88
379.855	24.17
380.069	18.56
380.284	13.21
380.499	14.01
380.714	12.86
380.929	9.22
381.143	13.63
381.358	11.93
381.573	20.41
381.787	27.28
382.002	8.08
382.217	20.67
382.432	18.08
382.646	8.13
382.861	19.38
383.075	12.82
383.29	21.22
383.505	13.25
383.719	17.75
383.934	12.83
384.148	16.83
384.363	4.88
384.577	18.04
384.792	16.09
385.007	12.74
385.221	10.32
385.436	14.35
385.65	19.11
385.864	17.64
386.079	17.4
386.293	17.12
386.508	14.28
386.722	16.69
386.937	13.18
387.151	17.74
387.365	12.21
387.58	8.73
387.794	20.06
388.008	12.69
388.223	16.73
388.437	12.21
388.651	10.74
388.865	18.56
389.08	15.51
389.294	18
389.508	12.12
389.722	21.78
389.937	16.68
390.151	14.16
390.365	14.91
390.579	15.88
390.793	15.21
391.008	13.95
391.222	12.39
391.436	15.81
391.65	19.08
391.864	10.95
392.078	14.26
392.292	14.06
392.506	14.94
392.72	12.09
